yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx
187310,4.1900000000000004,0.32500000000000001,0.45500000000000002,NaN,NaN,NaN,NaN,NaN,NaN,1.0177210661824903E-2,NaN,NaN,NaN,NaN,NaN,NaN
187311,4.04,0.32750000000000001,0.45750000000000002,NaN,NaN,NaN,NaN,NaN,NaN,1.1815416334155591E-2,NaN,NaN,NaN,NaN,NaN,NaN
187312,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,1.033955536809191E-2,NaN,NaN,NaN,NaN,NaN,NaN
187401,4.66,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,6.871282097842258E-3,NaN,NaN,NaN,NaN,NaN,NaN
187402,4.8,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,5.1297661578871149E-3,NaN,NaN,NaN,NaN,NaN,NaN
187403,4.7300000000000004,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,4.0671462623212635E-3,NaN,NaN,NaN,NaN,NaN,NaN
187404,4.5999999999999996,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,4.1704565299457205E-3,NaN,NaN,NaN,NaN,NaN,NaN
187405,4.4800000000000004,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,4.2516288830792238E-3,NaN,NaN,NaN,NaN,NaN,NaN
187406,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.8162498980904378E-3,NaN,NaN,NaN,NaN,NaN,NaN
187407,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.7424568497872531E-3,NaN,NaN,NaN,NaN,NaN,NaN
187408,4.47,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.7793533739388461E-3,NaN,NaN,NaN,NaN,NaN,NaN
187409,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.6539051918234328E-3,NaN,NaN,NaN,NaN,NaN,NaN
187410,4.53,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,4.2516288830792238E-3,NaN,NaN,NaN,NaN,NaN,NaN
187411,4.57,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.9269394705452139E-3,NaN,NaN,NaN,NaN,NaN,NaN
187412,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.7867326787691638E-3,NaN,NaN,NaN,NaN,NaN,NaN
187501,4.54,0.32750000000000001,0.45169999999999999,NaN,NaN,NaN,NaN,NaN,NaN,4.0671462623212635E-3,NaN,NaN,NaN,NaN,NaN,NaN
187502,4.53,0.32500000000000001,0.44330000000000003,NaN,NaN,NaN,NaN,NaN,NaN,3.5136984000473824E-3,NaN,NaN,NaN,NaN,NaN,NaN
187503,4.59,0.32250000000000001,0.435,NaN,NaN,NaN,NaN,NaN,NaN,3.4694225710654725E-3,NaN,NaN,NaN,NaN,NaN,NaN
187504,4.6500000000000004,0.32,0.42670000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.99335321401808E-3,NaN,NaN,NaN,NaN,NaN,NaN
187505,4.47,0.3175,0.41830000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.6539051918234328E-3,NaN,NaN,NaN,NaN,NaN,NaN
187506,4.38,0.315,0.41,NaN,NaN,NaN,NaN,NaN,NaN,3.0045263667554125E-3,NaN,NaN,NaN,NaN,NaN,NaN
187507,4.3899999999999997,0.3125,0.4017,NaN,NaN,NaN,NaN,NaN,NaN,2.9971470619250939E-3,NaN,NaN,NaN,NaN,NaN,NaN
187508,4.41,0.31,0.39329999999999998,NaN,NaN,NaN,NaN,NaN,NaN,2.8200437459974521E-3,NaN,NaN,NaN,NaN,NaN,NaN
187509,4.37,0.3075,0.38500000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.2849399503075125E-3,NaN,NaN,NaN,NaN,NaN,NaN
187510,4.3,0.30499999999999999,0.37669999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.985973909187761E-3,NaN,NaN,NaN,NaN,NaN,NaN
187511,4.37,0.30249999999999999,0.36830000000000002,NaN,NaN,NaN,NaN,NaN,NaN,4.2959047120611337E-3,NaN,NaN,NaN,NaN,NaN,NaN
187512,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,4.3549391507036817E-3,NaN,NaN,NaN,NaN,NaN,NaN
187601,4.46,0.3,0.3533,NaN,NaN,NaN,NaN,NaN,NaN,4.5172838569706867E-3,NaN,NaN,NaN,NaN,NaN,NaN
187602,4.5199999999999996,0.3,0.34670000000000001,NaN,NaN,NaN,NaN,NaN,NaN,4.3918356748552734E-3,NaN,NaN,NaN,NaN,NaN,NaN
