"pred","rwb_left_paper","rwb_right_paper","rwb_two_paper","ew_left_paper","ew_right_paper","ew_two_paper","b_ols_paper","b_ivx_paper","rho_paper","delta_paper","rwb_left_ivx","rwb_right_ivx","rwb_two_ivx","ew_left_ivx","ew_right_ivx","ew_two_ivx","b_ols_ivx","b_ivx_ivx","rho_ivx","delta_ivx","rwb_left_diff","rwb_right_diff","rwb_two_diff","ew_left_diff","ew_right_diff","ew_two_diff","b_ols_diff","b_ivx_diff","rho_diff","delta_diff"
"dp",0.5366,0.4634,0.6124,0.745,0.255,0.5099,0.002,0.003,0.994,-0.98,0.727863931965983,0.272136068034017,0.343671835917959,0.886485102582085,0.113514897417915,0.22702979483583,0.00430977990208631,0.00548666651465729,1.00019184547215,-0.976427408934439,0.191263931965983,-0.191263931965983,-0.268728164082041,0.141485102582085,-0.141485102582085,-0.28287020516417,0.00230977990208631,0.00248666651465729,0.00619184547215301,0.00357259106556129
"dy",0.8355,0.1645,0.2868,0.9254,0.0746,0.1492,0,0,1.006,-0.06,0.893946973486743,0.106053026513257,0.197098549274637,0.929955103663113,0.0700448963368872,0.140089792673774,0.00539233066741736,0.00693711713750119,1.00018568739194,-0.0736973528460123,0.0584469734867433,-0.0584469734867434,-0.0897014507253627,0.00455510366311285,-0.00455510366311285,-0.00911020732622569,0.00539233066741736,0.00693711713750119,-0.00581431260805587,-0.0136973528460123
"ep",0.8271,0.1729,0.2719,0.9142,0.0858,0.1716,0.005,0.006,0.989,-0.767,0.922461230615308,0.0775387693846923,0.125062531265633,0.9713053939235,0.0286946060765004,0.0573892121530009,0.00717361815948915,0.0080808671868126,1.00016535339207,-0.764770831884273,0.0953612306153077,-0.0953612306153077,-0.146837468734367,0.0571053939234996,-0.0571053939234996,-0.114210787846999,0.00217361815948915,0.0020808671868126,0.0111653533920687,0.0022291681157266
"de",0.2236,0.7764,0.4647,0.3013,0.6987,0.6025,-0.004,-0.004,0.991,-0.073,0.260130065032516,0.739869934967484,0.523261630815408,0.333069930803191,0.666930069196809,0.666139861606382,-0.00302606963395924,-0.00336509965730744,0.998110925899373,-0.0691110977958124,0.0365300650325162,-0.0365300650325162,0.0585616308154077,0.031769930803191,-0.031769930803191,0.063639861606382,0.000973930366040765,0.00063490034269256,0.00711092589937279,0.0038889022041876
"svar",0.3511,0.6489,0.7107,0.3856,0.6144,0.7712,-0.159,-0.189,0.577,-0.297,0.396698349174587,0.603301650825413,0.775887943971986,0.404437595370892,0.595562404629108,0.808875190741783,-0.128068881031942,-0.156858878602055,0.656573473163073,-0.291673648457956,0.0455983491745873,-0.0455983491745873,0.065187943971986,0.0188375953708916,-0.0188375953708916,0.0376751907417833,0.0309311189680577,0.0321411213979454,0.0795734731630732,0.00532635154204431
"bm",0.672,0.328,0.453,0.7181,0.2819,0.5939,0.008,0.007,0.987,-0.821,0.830415207603802,0.169584792396198,0.216608304152076,0.83537797699613,0.16462202300387,0.329244046007741,0.0123034966660192,0.0115140902229053,0.997343866118077,-0.829236170589271,0.158415207603802,-0.158415207603802,-0.236391695847924,0.11727797699613,-0.11727797699613,-0.264655953992259,0.00430349666601921,0.00451409022290532,0.0103438661180766,-0.00823617058927129
"ntis",0.0784,0.9216,0.1609,0.117,0.883,0.2339,-0.142,-0.141,0.981,-0.047,0.0675337668834417,0.932466233116558,0.142571285642821,0.101105389039739,0.898894610960261,0.202210778079479,-0.13938773285535,-0.149499742441038,0.985723801727652,-0.0398395471869307,-0.0108662331165583,0.0108662331165583,-0.0183287143571786,-0.0158946109602607,0.0158946109602607,-0.0316892219205214,0.00261226714465043,-0.00849974244103832,0.00472380172765174,0.00716045281306928
"tbl",0.034,0.966,0.0874,0.0365,0.9635,0.073,-0.001,-0.001,0.994,-0.053,0.0465232616308154,0.953476738369185,0.108054027013507,0.0422098020469542,0.957790197953046,0.0844196040939085,-0.0904172893588311,-0.0902949735758137,0.99663081365328,-0.0566103443193361,0.0125232616308154,-0.0125232616308154,0.0206540270135067,0.00570980204695422,-0.00570980204695426,0.0114196040939085,-0.0894172893588311,-0.0892949735758137,0.00263081365328044,-0.00361034431933611
"lty",0.0278,0.9722,0.0703,0.0272,0.9728,0.0543,-0.001,-0.001,0.997,-0.088,0.0380190095047524,0.961980990495248,0.0985492746373187,0.0417367571316241,0.958263242868376,0.0834735142632483,-0.0778368891863954,-0.0877585048616933,0.998962100450518,-0.0883798063379763,0.0102190095047524,-0.0102190095047523,0.0282492746373187,0.0145367571316241,-0.0145367571316242,0.0291735142632483,-0.0768368891863954,-0.0867585048616933,0.00196210045051837,-0.000379806337976338
"ltr",0.9176,0.0824,0.1707,0.918,0.082,0.1639,0.001,0.001,0.043,0.055,0.921960980490245,0.0780390195097549,0.150575287643822,0.924660679910493,0.0753393200895069,0.150678640179014,0.099222191341233,0.098233616610043,0.0789468942449167,0.0555999167058501,0.00436098049024514,-0.00436098049024512,-0.0201247123561781,0.00666067991049302,-0.00666067991049306,-0.0132213598209861,0.098222191341233,0.097233616610043,0.0359468942449167,0.000599916705850134
"tms",0.7883,0.2117,0.4144,0.7434,0.2566,0.5132,0.002,0.001,0.962,-0.002,0.820910455227614,0.179089544772386,0.345172586293147,0.776006343573592,0.223993656426408,0.447987312852816,0.142270721489632,0.118045274804248,0.98580540426171,0.000232510405874791,0.0326104552276139,-0.0326104552276138,-0.0692274137068534,0.0326063435735923,-0.0326063435735922,-0.0652126871471844,0.140270721489632,0.117045274804248,0.0238054042617101,0.00223251040587479
"dfy",0.4588,0.5412,0.9939,0.5019,0.4981,0.9962,0,0,0.975,-0.265,0.48024012006003,0.51975987993997,0.884442221110555,0.539309214840785,0.460690785159215,0.921381570318431,0.103382934731434,0.0606085287322345,0.993092700744814,-0.270560354077835,0.02144012006003,-0.02144012006003,-0.109457778889445,0.0374092148407845,-0.0374092148407845,-0.074818429681569,0.103382934731434,0.0606085287322345,0.0180927007448141,-0.00556035407783489
"dfr",0.8166,0.1834,0.374,0.8029,0.1971,0.3943,0.002,0.002,-0.102,0.185,0.795897948974487,0.204102051025513,0.416708354177089,0.802819822160266,0.197180177839734,0.394360355679468,0.163558196643837,0.162360945794513,-0.101487007309713,0.185724939621912,-0.0207020510255127,0.0207020510255128,0.0427083541770886,-8.01778397339081e-05,8.01778397339636e-05,6.03556794679383e-05,0.161558196643837,0.160360945794513,0.000512992690286637,0.000724939621911586
"infl",0.0959,0.9041,0.1874,0.0567,0.9433,0.1113,-0.004,-0.005,0.48,0.033,0.11655827913957,0.88344172086043,0.244122061030515,0.130078837990007,0.869921162009993,0.260157675980015,-0.404380705240241,-0.425107286894471,0.570537165165622,0.0323133358111712,0.0206582791395698,-0.0206582791395697,0.0567220610305152,0.0733788379900074,-0.0733788379900074,0.148857675980015,-0.400380705240241,-0.420107286894471,0.090537165165622,-0.000686664188828796
