date,inv,inc,gdp,cpi,int,def,ind,mog,res,une,hpi
1975-01-01,3.8,-1.1,4.2,54.7,6.303333333333334,29.129,41.83796666666667,9.168461538461539,28.751333333333335,8.266666666666667,59.75
1975-04-01,3.9,4.4,9.1,55.333333333333336,5.42,29.562,41.274633333333334,8.875384615384615,27.897,8.866666666666667,61.12
1975-07-01,4,2.8,14.8,56.53333333333333,6.16,30.084,42.28333333333333,8.983846153846153,27.342666666666666,8.466666666666667,61.25
1975-10-01,4.1,3.8,12.7,57.6,5.413333333333333,30.587,43.20953333333333,9.160769230769231,27.249333333333333,8.3,62.3
1976-01-01,4.4,5.2,14,58.2,4.826666666666667,30.911,44.5376,8.873076923076923,26.657,7.733333333333333,62.82
1976-04-01,4.6,1.1,7.2,58.733333333333334,5.196666666666666,31.222,45.1029,8.776923076923078,26.247,7.566666666666666,65.45
1976-07-01,4.5,3.4,7.6,59.6,5.283333333333333,31.626,45.710366666666665,8.967692307692309,26.029666666666667,7.733333333333333,66.55
1976-10-01,5,3.2,10.5,60.56666666666667,4.873333333333333,32.192,46.536433333333335,8.847142857142858,26.501666666666665,7.766666666666667,67.23
1977-01-01,5.1,2.2,11.7,61.7,4.66,32.711,47.498333333333335,8.693333333333333,26.39666666666667,7.5,69.42
1977-04-01,5.7,2.6,14.2,62.8,5.156666666666666,33.172,48.969633333333334,8.807692307692308,26.099666666666668,7.133333333333333,72.67
1977-07-01,5.7,3.2,12.7,63.5,5.82,33.576,49.50233333333333,8.925,26.484333333333332,6.9,74.36
1977-10-01,5.6,4.5,8.9,64.33333333333333,6.513333333333334,34.301,49.822466666666664,8.936923076923076,27.002666666666666,6.666666666666667,77.22
1978-01-01,5.8,5.1,7.3,65.3,6.756666666666667,34.8,49.68286666666667,9.126923076923077,27.607333333333333,6.333333333333333,79.55
1978-04-01,5.9,5.2,25.5,66.73333333333333,7.283333333333333,35.465,51.68286666666667,9.557692307692308,27.94,6,82.73
1978-07-01,5.9,4.6,11.3,68,8.1,36.067,52.13216666666667,9.76,28.314666666666668,6.033333333333333,85.22
1978-10-01,5.9,3.3,14.4,69.36666666666666,9.583333333333334,36.806,53.064033333333334,10.122307692307693,29.973,5.9,87.44
1979-01-01,5.7,3.8,8.3,71.1,10.073333333333334,37.476,53.291266666666665,10.409230769230769,31.018333333333334,5.866666666666667,91.38
1979-04-01,5.7,1.7,10.6,73.26666666666667,10.18,38.394,53.176033333333336,10.763846153846155,30.374,5.7,94.35
1979-07-01,5.6,1.4,12.3,75.3,10.946666666666667,39.234,53.02636666666667,11.156923076923077,30.290333333333333,5.866666666666667,96.41
1979-10-01,5.4,0.9,8.7,77.1,13.576666666666666,39.962,53.22933333333334,12.484615384615385,32.178,5.966666666666667,98.25
1980-01-01,5,0.1,10,79.9,15.046666666666667,40.801,53.446133333333336,13.68,32.477,6.3,100
1980-04-01,4.2,0.1,1.1,82.03333333333333,12.686666666666667,41.772,51.17953333333333,14.419230769230769,33.11366666666667,7.333333333333333,101.55
1980-07-01,4.3,0.8,8.7,83.86666666666666,9.836666666666666,42.705,50.3327,12.643076923076922,30.025333333333332,7.666666666666667,104.47
1980-10-01,4.6,2,19.3,85.86666666666666,15.853333333333333,43.818,52.2736,14.226153846153846,28.773333333333333,7.4,104.75
1981-01-01,4.4,1.5,19.9,88.43333333333334,16.57,44.972,52.3972,15.126923076923077,26.873333333333335,7.433333333333334,105.3
1981-04-01,4.3,2.5,5,90.13333333333334,17.78,45.863,52.55733333333333,16.23923076923077,26.977666666666668,7.4,107.4
1981-07-01,3.9,3.5,13,91.9,17.576666666666668,46.726,53.064733333333336,17.38,26.528,7.4,109.23
1981-10-01,3.5,2.2,2.5,93.46666666666667,13.586666666666666,47.534,51.906666666666666,17.735714285714284,25.915333333333333,8.233333333333333,109.16
1982-01-01,3.4,2.6,-0.8,94.53333333333333,14.226666666666667,48.188,50.83926666666667,17.414166666666667,25.643666666666668,8.833333333333334,110.96
1982-04-01,3.2,3.1,7.2,95.43333333333334,14.513333333333334,48.814,50.1882,16.766153846153845,24.266,9.433333333333334,111.88
1982-07-01,3.2,1.4,4.2,96.96666666666667,11.006666666666666,49.506,49.472766666666665,16.22153846153846,24.041666666666668,9.9,110.86
1982-10-01,3.5,1.6,4.4,97.86666666666666,9.286666666666667,50.019,48.54013333333333,14.032857142857143,24.554666666666666,10.666666666666666,112.24
1983-01-01,4,2.4,8.6,98.26666666666667,8.653333333333332,50.397,49.102466666666665,13.03,23.375666666666667,10.366666666666667,114.25
1983-04-01,4.3,2.5,12.7,99.36666666666666,8.803333333333333,50.771,50.19436666666667,12.763076923076923,22.127666666666666,10.133333333333333,115.45
1983-07-01,4.6,3.5,12.9,100.33333333333333,9.46,51.311,51.91716666666667,13.641428571428571,21.563,9.366666666666667,116.4
1983-10-01,4.7,5.5,11.9,101.26666666666667,9.43,51.7,53.28413333333334,13.46,20.996,8.533333333333333,117.06
1984-01-01,4.8,6.6,12.5,102.66666666666667,9.686666666666667,52.223,54.84663333333334,13.333076923076923,19.717333333333332,7.866666666666667,118.83
1984-04-01,4.8,7.6,10.8,103.5,10.556666666666667,52.67,55.69316666666667,14.035384615384615,20.028666666666666,7.433333333333334,120.39
1984-07-01,4.7,7.4,7.7,104.3,11.39,53.138,56.084833333333336,14.493846153846153,19.759,7.433333333333334,121.49
1984-10-01,4.6,5.9,6.4,105.1,9.266666666666667,53.536,56.1119,13.648461538461538,20.861666666666668,7.3,122.48
1985-01-01,4.6,3.6,8.1,105.93333333333334,8.476666666666667,54.065,56.298433333333335,13.063846153846153,21.277,7.233333333333333,124.21
1985-04-01,4.6,3.9,6.3,106.76666666666667,7.923333333333333,54.413,56.33813333333333,12.785384615384615,22.967666666666666,7.3,126.11
1985-07-01,4.6,2.2,8.8,107.16666666666667,7.9,54.741,56.257133333333336,12.14076923076923,23.964666666666666,7.2,128.08
1985-10-01,4.7,2.4,5.3,108.1,8.1033333333333335,55.047,56.585566666666665,11.73076923076923,26.457,7.033333333333333,129.48
1986-01-01,4.9,4.1,5.9,108.4,7.826666666666667,55.321,56.92766666666667,10.583846153846153,26.036,7.033333333333333,131.98
1986-04-01,5.2,3.4,3.4,107.3,6.92,55.531,56.5821,10.246153846153847,28.898333333333333,7.166666666666667,134.73
1986-07-01,5.2,4.4,5.6,107.86666666666666,6.206666666666667,55.758,56.79756666666667,10.235384615384616,30.774,6.966666666666667,136.77
1986-10-01,5.2,3.4,4.4,108.4,6.266666666666667,56.062,57.4544,9.683846153846154,34.940333333333335,6.833333333333333,138.88
1987-01-01,5.2,3,5.7,109.96666666666667,6.22,56.418,58.214533333333335,9.114615384615385,35.159333333333336,6.6,141.63
1987-04-01,5.2,0.8,7.3,111.16666666666667,6.65,56.809,59.231033333333336,10.343076923076923,36.84466666666667,6.266666666666667,143.82
1987-07-01,5.1,1.9,6.7,112.33333333333333,6.843333333333334,57.239,60.3388,10.481538461538461,36.13,6,145.45
1987-10-01,5,3.1,10.5,113.2,6.916666666666667,57.695,61.805,10.864285714285714,37.46233333333333,5.833333333333333,146.37
1988-01-01,4.9,3.7,5.3,113.8,6.663333333333333,58.147,62.365233333333336,10.068333333333333,35.84166666666667,5.7,148.67
1988-04-01,4.9,5.8,9.5,115.16666666666667,7.156666666666666,58.713,62.89833333333333,10.35923076923077,37.58,5.466666666666667,151.63
1988-07-01,4.9,4.9,7.3,116.66666666666667,7.983333333333333,59.415,63.13003333333333,10.496428571428572,37.32966666666667,5.466666666666667,153.19
1988-10-01,4.8,4.5,9.1,117.93333333333334,8.47,59.929,63.5841,10.41,37.04233333333333,5.333333333333333,154.62
1989-01-01,4.7,4.1,8.5,119.36666666666666,9.443333333333333,60.553,63.8683,10.82,34.568666666666665,5.2,156.4
1989-04-01,4.6,2.8,7.6,121.5,9.726666666666667,61.198,63.63816666666666,10.636153846153846,34.26,5.233333333333333,158.56
1989-07-01,4.5,2.5,6,122.2,9.083333333333334,61.645,63.2548,10.007692307692308,33.443,5.233333333333333,161.93
1989-10-01,4.4,2.4,3.7,123.3,8.613333333333333,62.084,63.5178,9.813846153846153,34.11233333333333,5.366666666666667,163.27
1990-01-01,4.4,2,9,125.63333333333334,8.25,62.754,63.94316666666667,10.131538461538462,32.781666666666666,5.3,164.19
1990-04-01,4.1,3,6.1,126.73333333333333,8.243333333333334,63.457,64.4199,10.323846153846153,34.00866666666667,5.333333333333333,164.86
1990-07-01,3.9,2.3,3.7,128.8,8.16,64.001,64.68983333333334,10.103076923076923,32.873,5.7,165.85
1990-10-01,3.7,0.6,-0.7,131.4,7.743333333333333,64.477,63.68553333333333,9.95923076923077,31.895333333333333,6.133333333333333,165.21
1991-01-01,3.5,0.1,2,132.16666666666666,6.426666666666667,65.109,62.484033333333336,9.500769230769231,21.153666666666666,6.6,166.57
1991-04-01,3.6,0.1,6.2,132.9,5.863333333333333,65.587,62.85516666666667,9.522307692307692,23.150333333333332,6.833333333333333,167.7
1991-07-01,3.6,0.5,5.3,133.9,5.6433333333333335,66.099,63.7321,9.273076923076923,23.163666666666668,6.866666666666667,167.99
1991-10-01,3.7,2.2,3.8,134.9,4.816666666666666,66.492,63.8843,8.69,24.947666666666667,7.1,170.36
1992-01-01,3.8,4,6.4,135.63333333333333,4.023333333333333,66.739,63.8145,8.688461538461539,26.104333333333333,7.366666666666667,171.67
1992-04-01,3.9,4.3,6.9,136.73333333333332,3.77,67.14,64.95266666666667,8.677692307692308,21.656,7.6,171.64
1992-07-01,3.9,4.4,6.1,137.86666666666667,3.256666666666667,67.468,65.45213333333334,8.017692307692307,21.706,7.633333333333333,173.61
1992-10-01,4,4,7.1,139.06666666666666,3.0366666666666666,67.932,66.14613333333334,8.192142857142857,24.839,7.366666666666667,174.48
